time,posX,velX,accelX,posY,velY,accelY,posZ,velZ,accelZ,someValue
0.52000000,970.53744061,-62.77806520,0,-27.81308120,-46.46412089,0,336.40000000,70.00000000,0,0
0.53000000,969.90859483,-62.99087038,0,-28.27627868,-46.17521250,0,337.10000000,70.00000000,0,0
0.54000000,969.27762763,-63.20234599,0,-28.73658220,-45.88532948,0,337.80000000,70.00000000,0,0
0.55000000,968.64455235,-63.41248757,0,-29.19398204,-45.59447795,0,338.50000000,70.00000000,0,0
0.56000000,968.00938234,-63.62129070,0,-29.64846855,-45.30266405,0,339.20000000,70.00000000,0,0
0.57000000,967.37213101,-63.82875095,0,-30.10003213,-45.00989393,0,339.90000000,70.00000000,0,0
0.58000000,966.73281182,-64.03486396,0,-30.54866326,-44.71617378,0,340.60000000,70.00000000,0,0
0.59000000,966.09143824,-64.23962537,0,-30.99435246,-44.42150979,0,341.30000000,70.00000000,0,0
0.60000000,965.44802383,-64.44303086,0,-31.43709033,-44.12590819,0,342.00000000,70.00000000,0,0
0.61000000,964.80258216,-64.64507613,0,-31.87686752,-43.82937522,0,342.70000000,70.00000000,0,0
0.62000000,964.15512685,-64.84575693,0,-32.31367475,-43.53191712,0,343.40000000,70.00000000,0,0
0.63000000,963.50567158,-65.04506901,0,-32.74750280,-43.23354019,0,344.10000000,70.00000000,0,0
0.64000000,962.85423005,-65.24300817,0,-33.17834251,-42.93425072,0,344.80000000,70.00000000,0,0
0.65000000,962.20081601,-65.43957023,0,-33.60618480,-42.63405503,0,345.50000000,70.00000000,0,0
0.66000000,961.54544325,-65.63475104,0,-34.03102061,-42.33295945,0,346.20000000,70.00000000,0,0
0.67000000,960.88812561,-65.82854649,0,-34.45284101,-42.03097033,0,346.90000000,70.00000000,0,0
0.68000000,960.22887695,-66.02095248,0,-34.87163706,-41.72809406,0,347.60000000,70.00000000,0,0
0.69000000,959.56771120,-66.21196494,0,-35.28739995,-41.42433703,0,348.30000000,70.00000000,0,0
0.70000000,958.90464231,-66.40157986,0,-35.70012089,-41.11970564,0,349.00000000,70.00000000,0,0
0.71000000,958.23968428,-66.58979322,0,-36.10979117,-40.81420633,0,349.70000000,70.00000000,0,0
0.72000000,957.57285113,-66.77660106,0,-36.51640215,-40.50784555,0,350.40000000,70.00000000,0,0
0.73000000,956.90415695,-66.96199943,0,-36.91994523,-40.20062975,0,351.10000000,70.00000000,0,0
0.74000000,956.23361585,-67.14598441,0,-37.32041191,-39.89256544,0,351.80000000,70.00000000,0,0
0.75000000,955.56124199,-67.32855213,0,-37.71779373,-39.58365910,0,352.50000000,70.00000000,0,0
0.76000000,954.88704955,-67.50969874,0,-38.11208231,-39.27391726,0,353.20000000,70.00000000,0,0
0.77000000,954.21105276,-67.68942039,0,-38.50326932,-38.96334645,0,353.90000000,70.00000000,0,0
0.78000000,953.53326590,-67.86771332,0,-38.89134650,-38.65195324,0,354.60000000,70.00000000,0,0
0.79000000,952.85370327,-68.04457374,0,-39.27630566,-38.33974419,0,355.30000000,70.00000000,0,0
0.80000000,952.17237922,-68.21999793,0,-39.65813868,-38.02672590,0,356.00000000,70.00000000,0,0
0.81000000,951.48930811,-68.39398218,0,-40.03683750,-37.71290497,0,356.70000000,70.00000000,0,0
0.82000000,950.80450438,-68.56652283,0,-40.41239413,-37.39828802,0,357.40000000,70.00000000,0,0
0.83000000,950.11798248,-68.73761623,0,-40.78480063,-37.08288170,0,358.10000000,70.00000000,0,0
0.84000000,949.42975690,-68.90725877,0,-41.15404915,-36.76669266,0,358.80000000,70.00000000,0,0
0.85000000,948.73984215,-69.07544687,0,-41.52013190,-36.44972758,0,359.50000000,70.00000000,0,0
0.86000000,948.04825282,-69.24217697,0,-41.88304114,-36.13199314,0,360.20000000,70.00000000,0,0
0.87000000,947.35500349,-69.40744557,0,-42.24276922,-35.81349606,0,360.90000000,70.00000000,0,0
0.88000000,946.66010879,-69.57124916,0,-42.59930854,-35.49424306,0,361.60000000,70.00000000,0,0
0.89000000,945.96358340,-69.73358430,0,-42.95265158,-35.17424087,0,362.30000000,70.00000000,0,0
0.90000000,945.26544201,-69.89444756,0,-43.30279088,-34.85349625,0,363.00000000,70.00000000,0,0
0.91000000,944.56569936,-70.05383554,0,-43.64971906,-34.53201597,0,363.70000000,70.00000000,0,0
0.92000000,943.86437023,-70.21174487,0,-43.99342877,-34.20980681,0,364.40000000,70.00000000,0,0
0.93000000,943.16146941,-70.36817223,0,-44.33391279,-33.88687558,0,365.10000000,70.00000000,0,0
0.94000000,942.45701173,-70.52311432,0,-44.67116390,-33.56322909,0,365.80000000,70.00000000,0,0
0.95000000,941.75101208,-70.67656785,0,-45.00517501,-33.23887418,0,366.50000000,70.00000000,0,0
0.96000000,941.04348535,-70.82852960,0,-45.33593905,-32.91381768,0,367.20000000,70.00000000,0,0
0.97000000,940.33444647,-70.97899636,0,-45.66344904,-32.58806647,0,367.90000000,70.00000000,0,0
0.98000000,939.62391042,-71.12796494,0,-45.98769808,-32.26162741,0,368.60000000,70.00000000,0,0
0.99000000,938.91189218,-71.27543222,0,-46.30867932,-31.93450739,0,369.30000000,70.00000000,0,0
1.00000000,938.19840679,-71.42139506,0,-46.62638598,-31.60671333,0,370.00000000,70.00000000,0,0
1.01000000,937.48346930,-71.56585040,0,-46.94081136,-31.27825214,0,370.70000000,70.00000000,0,0
1.02000000,936.76709481,-71.70879518,0,-47.25194883,-30.94913075,0,371.40000000,70.00000000,0,0
1.03000000,936.04929844,-71.85022638,0,-47.55979180,-30.61935611,0,372.10000000,70.00000000,0,0
1.04000000,935.33009534,-71.99014103,0,-47.86433379,-30.28893518,0,372.80000000,70.00000000,0,0
1.05000000,934.60950069,-72.12853616,0,-48.16556838,-29.95787494,0,373.50000000,70.00000000,0,0
1.06000000,933.88752969,-72.26540887,0,-48.46348919,-29.62618237,0,374.20000000,70.00000000,0,0
1.07000000,933.16419760,-72.40075624,0,-48.75808994,-29.29386447,0,374.90000000,70.00000000,0,0
1.08000000,932.43951966,-72.53457544,0,-49.04936441,-28.96092826,0,375.60000000,70.00000000,0,0
1.09000000,931.71351119,-72.66686364,0,-49.33730647,-28.62738076,0,376.30000000,70.00000000,0,0
1.10000000,930.98618750,-72.79761804,0,-49.62191001,-28.29322902,0,377.00000000,70.00000000,0,0
1.11000000,930.25756395,-72.92683588,0,-49.90316906,-27.95848009,0,377.70000000,70.00000000,0,0
1.12000000,929.52765592,-73.05451444,0,-50.18107765,-27.62314103,0,378.40000000,70.00000000,0,0
1.13000000,928.79647880,-73.18065102,0,-50.45562993,-27.28721892,0,379.10000000,70.00000000,0,0
1.14000000,928.06404804,-73.30524296,0,-50.72682011,-26.95072086,0,379.80000000,70.00000000,0,0
1.15000000,927.33037910,-73.42828763,0,-50.99464245,-26.61365394,0,380.50000000,70.00000000,0,0
1.16000000,926.59548746,-73.54978243,0,-51.25909131,-26.27602528,0,381.20000000,70.00000000,0,0
1.17000000,925.85938863,-73.66972480,0,-51.52016111,-25.93784200,0,381.90000000,70.00000000,0,0
1.18000000,925.12209815,-73.78811221,0,-51.77784633,-25.59911125,0,382.60000000,70.00000000,0,0
1.19000000,924.38363157,-73.90494215,0,-52.03214153,-25.25984018,0,383.30000000,70.00000000,0,0
1.20000000,923.64400450,-74.02021216,0,-52.28304136,-24.92003594,0,384.00000000,70.00000000,0,0
1.21000000,922.90323254,-74.13391982,0,-52.53054050,-24.57970570,0,384.70000000,70.00000000,0,0
1.22000000,922.16133132,-74.24606271,0,-52.77463374,-24.23885666,0,385.40000000,70.00000000,0,0
1.23000000,921.41831651,-74.35663847,0,-53.01531593,-23.89749600,0,386.10000000,70.00000000,0,0
1.24000000,920.67420378,-74.46564477,0,-53.25258198,-23.55563093,0,386.80000000,70.00000000,0,0
